Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite_DataFrom Excel,Firefox 69.0,,,2019-12-05 10:45:43,2019-12-05 10:45:59,15.281s,INCOMPLETE
,,,,,,,
Test Cases/DataFromExcel,Firefox 69.0,,,2019-12-05 10:45:44,2019-12-05 10:45:59,14.821s,PASSED
"openBrowser("""")",Firefox 69.0,,,2019-12-05 10:45:45,2019-12-05 10:45:54,9.548s,PASSED
"navigateToUrl(""http://executeautomation.com/demosite/Login.html"")",Firefox 69.0,,,2019-12-05 10:45:54,2019-12-05 10:45:56,1.831s,PASSED
"setText(findTestObject(""Manual/Page_Execute Automation/input_Login_UserName""), ""admin"")",Firefox 69.0,,,2019-12-05 10:45:56,2019-12-05 10:45:56,0.201s,PASSED
"setText(findTestObject(""Manual/Page_Execute Automation/input_Login_Password""), ""admin"")",Firefox 69.0,,,2019-12-05 10:45:56,2019-12-05 10:45:56,0.151s,PASSED
