Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Internal Data Table,Firefox 69.0,,,2019-10-22 11:34:49,2019-10-22 11:35:01,11.887s,INCOMPLETE
,,,,,,,
Test Cases/Internal Data,Firefox 69.0,,,2019-10-22 11:34:50,2019-10-22 11:35:01,11.639s,FAILED
"openBrowser(""http://executeautomation.com/demosite/Login.html"")",Firefox 69.0,,,2019-10-22 11:34:50,2019-10-22 11:34:59,8.560s,PASSED
"setText(findTestObject(""Test2_OR/Page_Execute Automation/input_Login_UserName""), username)",Firefox 69.0,,,2019-10-22 11:34:59,2019-10-22 11:34:59,0.254s,PASSED
"setEncryptedText(findTestObject(""Test2_OR/Page_Execute Automation/input_Login_Password""), password)",Firefox 69.0,,,2019-10-22 11:34:59,2019-10-22 11:34:59,0.246s,FAILED
