Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DataDrivenTest,Firefox 69.0,,,2019-11-04 13:06:39,2019-11-04 13:06:52,13.868s,INCOMPLETE
,,,,,,,
Test Cases/ManualMode/Test2_ManualMode,Firefox 69.0,,,2019-11-04 13:06:39,2019-11-04 13:06:52,13.682s,FAILED
openBrowser(URL),Firefox 69.0,,,2019-11-04 13:06:39,2019-11-04 13:06:50,10.644s,PASSED
"setText(findTestObject(""Test2_OR/Page_Execute Automation/input_Login_UserName""), username)",Firefox 69.0,,,2019-11-04 13:06:50,2019-11-04 13:06:50,0.199s,PASSED
"verifyElementText(findTestObject(""Test1_OR/Page_Execute Automation/input_Login_UserName""), ""hema"")",Firefox 69.0,,,2019-11-04 13:06:50,2019-11-04 13:06:50,0.304s,FAILED
