Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteForDataDrivenTests,Firefox 69.0,,,2019-10-23 17:31:08,2019-10-23 17:31:45,36.395s,INCOMPLETE
,,,,,,,
Test Cases/DataDrivenTest/Test6_DatadrivenTest,Firefox 69.0,,,2019-10-23 17:31:09,2019-10-23 17:31:45,36.096s,FAILED
"openBrowser("""")",Firefox 69.0,,,2019-10-23 17:31:09,2019-10-23 17:31:15,6.436s,PASSED
"navigateToUrl(findTestData(""Data2"").getValue(1, 1))",Firefox 69.0,,,2019-10-23 17:31:15,2019-10-23 17:31:40,24.510s,PASSED
"for ([rowNum = 1, rowNum <= findTestData(""Data1"").getRowNumbers(), (rowNum++)])",Firefox 69.0,,,2019-10-23 17:31:40,2019-10-23 17:31:43,2.685s,FAILED
