Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Manual,Firefox 69.0,,,2019-12-05 10:43:21,2019-12-05 10:44:11,49.514s,INCOMPLETE
,,,,,,,
Test Cases/ManualMode/Test2_ManualMode,Firefox 69.0,,,2019-12-05 10:43:22,2019-12-05 10:44:11,48.891s,FAILED
openBrowser(URL),Firefox 69.0,,,2019-12-05 10:43:23,2019-12-05 10:43:38,15.355s,PASSED
"setText(findTestObject(""Test2_OR/Page_Execute Automation/input_Login_UserName""), username)",Firefox 69.0,,,2019-12-05 10:43:38,2019-12-05 10:44:09,30.645s,FAILED
