Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite_DataFrom Excel,Firefox 69.0,,,2019-12-05 10:45:42,2019-12-05 10:45:57,15.094s,INCOMPLETE
,,,,,,,
Test Cases/DataFromExcel,Firefox 69.0,,,2019-12-05 10:45:42,2019-12-05 10:45:57,14.517s,PASSED
"openBrowser("""")",Firefox 69.0,,,2019-12-05 10:45:43,2019-12-05 10:45:52,9.528s,PASSED
"navigateToUrl(""http://executeautomation.com/demosite/Login.html"")",Firefox 69.0,,,2019-12-05 10:45:52,2019-12-05 10:45:54,1.824s,PASSED
"setText(findTestObject(""Manual/Page_Execute Automation/input_Login_UserName""), ""admin"")",Firefox 69.0,,,2019-12-05 10:45:54,2019-12-05 10:45:54,0.385s,PASSED
"setText(findTestObject(""Manual/Page_Execute Automation/input_Login_Password""), ""admin"")",Firefox 69.0,,,2019-12-05 10:45:54,2019-12-05 10:45:55,0.178s,PASSED
