Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DataDrivenTest,Firefox 69.0,,,2019-11-04 13:03:50,2019-11-04 13:04:01,11.044s,INCOMPLETE
,,,,,,,
Test Cases/ManualMode/Test2_ManualMode,Firefox 69.0,,,2019-11-04 13:03:50,2019-11-04 13:04:01,10.862s,FAILED
openBrowser(URL),Firefox 69.0,,,2019-11-04 13:03:51,2019-11-04 13:03:59,7.774s,PASSED
"setText(findTestObject(""Test2_OR/Page_Execute Automation/input_Login_UserName""), username)",Firefox 69.0,,,2019-11-04 13:03:59,2019-11-04 13:03:59,0.229s,PASSED
"verifyElementText(findTestObject(""Test1_OR/Page_Execute Automation/input_Login_UserName""), ""hema"")",Firefox 69.0,,,2019-11-04 13:03:59,2019-11-04 13:03:59,0.281s,FAILED
